AG98,AG22,AG23,SodaF,PotashF,Crushing,ETP,NaSil,MOR_MPa,WA_pct,Shrinkage_pct,split
19.15280847191528,2.5509744902550975,11.403885961140388,42.202577974220254,17.680823191768084,3.4769652303476963,2.035979640203598,1.4959850401495984,48.944990149999995,1.336,10.91,calibration
19.809198091980925,3.953039530395304,10.220102201022012,42.55242552425524,18.042180421804222,2.4260242602426025,2.008020080200802,0.9890098900989011,51.141679749999994,1.543,10.97,calibration
16.903,2.592,14.885000000000002,42.988,16.087,2.33,2.744,1.471,40.413204650000004,1.712,11.94,calibration
15.288000000000002,2.7170000000000005,12.847,41.87200000000001,21.695000000000004,2.0760000000000005,2.9740000000000006,0.5310000000000001,47.062113350000004,1.6070000000000002,11.11,calibration
19.896801031989682,2.5349746502534978,11.00088999110009,39.878601213987864,21.33278667213328,2.7099729002709974,2.024979750202498,0.6209937900620994,58.47705395,2.641,10.84,calibration
16.253837461625384,3.251967480325196,10.447895521044789,42.37857621423785,21.681783182168175,3.3939660603393964,2.080979190208098,0.5109948900510994,43.7180457,0.6709999999999999,10.91,calibration
16.573,3.918,10.336,41.009,21.122,3.408,2.17,1.464,46.70907395,0.792,11.85,calibration
17.29582704172958,2.701972980270197,14.424855751442486,37.48762512374876,21.895781042189576,3.2239677603223966,2.2789772102278976,0.6909930900690993,59.065452949999994,3.3619999999999997,10.11,calibration
17.353999999999996,3.3519999999999994,12.957999999999997,42.56399999999999,17.0,3.0639999999999996,2.7899999999999996,0.9179999999999999,60.77181005,1.202,10.18,calibration
17.353999999999996,3.3519999999999994,12.957999999999997,40.06399999999999,19.499999999999996,3.0639999999999996,2.7899999999999996,0.9179999999999999,56.72166359999999,1.923,11.56,calibration
17.353999999999996,3.3519999999999994,12.957999999999997,37.564,21.999999999999996,3.0639999999999996,2.7899999999999996,0.9179999999999999,41.7371024,0.8210000000000001,10.13,calibration
19.742,3.642,14.786,38.416,16.041,3.84,2.534,0.9990000000000001,57.86904164999999,0.9079999999999999,10.39,calibration
15.695999999999998,2.8359999999999994,14.484999999999998,37.251999999999995,21.791999999999998,3.3879999999999995,3.0929999999999995,1.4579999999999997,60.399157349999996,0.39699999999999996,10.97,calibration
15.102000000000002,3.6840000000000006,14.307999999999998,42.924,16.563,3.7859999999999996,2.889,0.744,65.27306239999999,1.505,11.98,calibration
19.91819918199182,3.6230362303623047,10.060100601006013,37.61237612376125,21.529215292152927,3.1630316303163033,3.199031990319904,0.8950089500895011,50.4650209,3.241,10.16,calibration
18.200182001820014,2.7190271902719023,13.900139001390013,40.638406384063835,19.71219712197122,2.1140211402114018,2.063020630206302,0.6530065300653006,52.65190385,1.494,10.96,calibration
19.431,2.924,14.468999999999998,42.595,15.375,2.042,2.299,0.865,47.6799323,2.8320000000000003,10.59,calibration
19.941,2.544,11.283,39.699,18.231,3.8960000000000004,3.3419999999999996,1.064,44.237798149999996,3.1350000000000002,11.21,calibration
17.224172241722417,3.0550305503055033,13.049130491304913,38.569385693856944,20.01220012200122,4.0080400804008045,3.3770337703377034,0.7050070500705007,60.737486775,0.9615,11.32,holdout
18.631000000000007,3.2090000000000005,12.299000000000003,40.477000000000004,18.641000000000005,2.9690000000000007,2.906000000000001,0.8680000000000002,46.380551174999994,1.2229999999999999,10.8,holdout
15.700157001570018,2.5040250402504025,10.117101171011711,42.97942979429795,21.978219782197826,3.264032640326403,2.3960239602396025,1.0610106101061012,49.14112315,1.202,11.3,holdout
17.613,3.607999999999999,10.005999999999998,42.98199999999999,19.070999999999998,2.7679999999999993,2.8019999999999996,1.15,61.938801399999996,0.985,11.28,holdout
15.207847921520786,2.660973390266098,14.731852681473187,40.437595624043766,20.046799532004684,3.2339676603233967,2.206977930220698,1.4739852601473986,52.416544249999994,1.3599999999999999,11.82,holdout
19.488999999999997,3.0299999999999994,12.244999999999997,38.382999999999996,21.000999999999998,2.0299999999999994,2.3459999999999996,1.4759999999999998,52.034084899999996,4.12,11.96,holdout
19.543609127817444,3.8169236615267694,10.811783764324712,37.298254034919296,21.978560428791422,3.4529309413811724,2.086958260834783,1.0109797804043916,50.131594799999995,0.613,11.22,holdout
16.662,2.652,10.32,42.938,21.901,2.354,2.298,0.8750000000000001,38.952013799999996,2.1069999999999998,11.02,holdout
19.937999999999995,3.8149999999999995,10.422999999999998,42.821999999999996,16.143,2.7179999999999995,2.7379999999999995,1.4029999999999998,48.88615025,1.9900000000000002,10.01,holdout
15.148999999999996,3.8729999999999993,12.353999999999997,40.346999999999994,20.325999999999997,3.964999999999999,3.0149999999999997,0.9709999999999999,52.7401637,0.9820000000000001,10.58,holdout
